diagnostics_Image-original_Hash,439265379db56331becb6f94ba34c6466c6bcab1,9ce71715a2e3fa4997c9f0a2b822edb008677ea6,f1287f18e2682f1cfea66468c5d7e17796b54bb7,2b467b76694c3fdd6d70e2d67d72c72b72d7995b,2c16a66054cfa07992c5f03f31b16285b5e5ec5d,e9faf55378425873bfb19ca07fed6aeac6e295e9
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 245)","(512, 512, 229)","(512, 512, 249)","(512, 512, 249)","(512, 512, 249)"
original_glcm_Imc1,-0.287026166,-0.269869569,-0.282760126,-0.272258974,-0.302313117,-0.301012204
original_glcm_Imc2,0.961593027,0.954851128,0.957365548,0.952368068,0.962541926,0.962092879
original_glcm_InverseVariance,0.354957332,0.355243689,0.348157549,0.365790701,0.389782126,0.390372121
original_glcm_JointAverage,15.87312072,15.53707161,15.60348695,17.11742202,17.03168833,18.73298677
original_glcm_JointEnergy,0.011710116,0.010269964,0.014317483,0.011833676,0.013404992,0.01292829
original_glcm_JointEntropy,8.097435279,8.193283469,7.968689472,7.936729379,7.680348631,7.640944803
original_glcm_MCC,0.911302647,0.948656842,0.905781425,0.911644924,0.946574445,0.933187487
original_glcm_MaximumProbability,0.050017633,0.040273255,0.062669457,0.041986442,0.046792473,0.038395472
original_glcm_SumAverage,31.74624145,31.07414321,31.2069739,34.23484404,34.06337667,37.46597355
original_glcm_SumEntropy,5.756238044,5.757613682,5.682799765,5.62054541,5.533316658,5.511446154
original_glcm_SumSquares,190.6698733,181.7518068,194.3754949,208.3921106,210.721061,217.1010074
original_gldm_DependenceEntropy,8.020425312,7.957358428,7.914880194,7.806772939,7.901748666,7.802835958
original_gldm_DependenceNonUniformity,793.4324214,940.975419,700.2964177,887.9385356,1496.163483,850.430676
original_gldm_DependenceNonUniformityNormalized,0.080690778,0.087614099,0.081982723,0.085543212,0.076009118,0.079294236
original_gldm_DependenceVariance,19.88180032,15.11125776,21.13367469,14.68838882,16.48424217,15.71952088
original_gldm_GrayLevelNonUniformity,550.5513068,590.6659218,540.7675018,650.3932563,1273.18289,683.0421445
