diagnostics_Image-original_Hash,439265379db56331becb6f94ba34c6466c6bcab1,9ce71715a2e3fa4997c9f0a2b822edb008677ea6,f1287f18e2682f1cfea66468c5d7e17796b54bb7,2b467b76694c3fdd6d70e2d67d72c72b72d7995b,2c16a66054cfa07992c5f03f31b16285b5e5ec5d,e9faf55378425873bfb19ca07fed6aeac6e295e9
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 245)","(512, 512, 229)","(512, 512, 249)","(512, 512, 249)","(512, 512, 249)"
original_gldm_HighGrayLevelEmphasis,346.3781169,256.0405693,200.7087777,175.8087943,175.3755813,205.7135043
original_gldm_LargeDependenceEmphasis,33.79177521,33.17949374,39.79081214,38.93016315,47.24664564,42.76970954
original_gldm_LargeDependenceHighGrayLevelEmphasis,10231.3195,4510.056081,3097.772309,3197.287505,4293.705618,4053.166164
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.839374979,0.376619335,1.0952753,1.104082359,1.340129629,1.035488458
original_gldm_LowGrayLevelEmphasis,0.01862057,0.009493419,0.019636647,0.022884422,0.023342773,0.018880164
original_gldm_SmallDependenceEmphasis,0.223385892,0.199941978,0.189653718,0.172910638,0.146285111,0.164138531
original_gldm_SmallDependenceHighGrayLevelEmphasis,101.6485894,90.18559042,73.70441237,54.79961663,46.23445746,61.73142699
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002501653,0.001341127,0.001899185,0.002844216,0.002338647,0.002002374
original_glrlm_GrayLevelNonUniformity,450.5687039,704.676501,639.0972055,694.9958865,1300.289816,708.3180584
original_glrlm_GrayLevelNonUniformityNormalized,0.048941145,0.070419417,0.069415944,0.082744661,0.085299425,0.080873927
original_glrlm_GrayLevelVariance,130.3378156,70.90836952,78.78709874,72.79641583,73.91934829,85.11231408
original_glrlm_HighGrayLevelRunEmphasis,355.6183864,273.5540464,220.1750121,190.5233265,190.7537297,224.4798221
original_glrlm_LongRunEmphasis,1.611470171,1.617026114,1.711020693,1.712164558,1.856278186,1.771427836
original_glrlm_LongRunHighGrayLevelEmphasis,535.2139841,366.40413,287.157391,259.6993545,278.0252793,309.4067323
original_glrlm_LongRunLowGrayLevelEmphasis,0.032496389,0.016094733,0.037097526,0.041568623,0.046045773,0.035996833
original_glrlm_LowGrayLevelRunEmphasis,0.017721841,0.009220742,0.018449281,0.022031223,0.022431823,0.018013506
original_glrlm_RunEntropy,5.467254307,5.048360255,5.086943216,4.908704588,4.961120257,4.995369451
original_glrlm_RunLengthNonUniformity,7037.599473,7563.872804,6818.350914,6136.711266,10714.03551,6289.403884
original_glrlm_RunLengthNonUniformityNormalized,0.76329002,0.754748929,0.739311531,0.729486339,0.701290255,0.717081542
original_glrlm_RunPercentage,0.855801437,0.852480512,0.83865155,0.835249013,0.813928147,0.8256536
original_glrlm_RunVariance,0.238713154,0.235399468,0.281650025,0.272699816,0.334706624,0.298813693
original_glrlm_ShortRunEmphasis,0.895494882,0.891355183,0.883135474,0.878197405,0.862556301,0.871563153
original_glrlm_ShortRunHighGrayLevelEmphasis,325.2125674,255.9584456,207.5321845,177.4014445,174.6086,208.2088851
original_glrlm_ShortRunLowGrayLevelEmphasis,0.015261353,0.008030712,0.01550914,0.018764097,0.01873632,0.015121289
original_glszm_GrayLevelNonUniformity,76.42066846,84.76589712,79.52021563,70.92379901,106.4706518,64.27030033
original_glszm_GrayLevelNonUniformityNormalized,0.029358689,0.034332077,0.035723367,0.039162782,0.03834017,0.03574544
original_glszm_GrayLevelVariance,100.4688742,95.34890167,98.11079891,94.25527964,89.5917634,105.2293616
original_glszm_HighGrayLevelZoneEmphasis,476.8109873,486.3438639,420.1891285,352.344561,355.3158084,417.8581758
original_glszm_LargeAreaEmphasis,1084.022282,2344.840421,2319.604223,3494.344561,8828.225783,4112.102336
original_glszm_LargeAreaHighGrayLevelEmphasis,98069.068,222180.2616,100736.6541,150311.3904,376863.5906,209768.0912
original_glszm_LargeAreaLowGrayLevelEmphasis,32.00217922,26.50047647,62.62648251,94.74701678,240.7054282,92.91167663
original_glszm_LowGrayLevelZoneEmphasis,0.010538514,0.006282389,0.00938831,0.014929227,0.01485846,0.010949401
original_glszm_SizeZoneNonUniformity,1107.067614,1032.117051,873.7924528,727.4704583,1058.71408,717.7908788
original_glszm_SizeZoneNonUniformityNormalized,0.4253045,0.418030398,0.392539287,0.401695449,0.381243817,0.399216284
original_glszm_SmallAreaEmphasis,0.678304315,0.671786496,0.650920315,0.657979816,0.640174928,0.656159587
original_glszm_SmallAreaHighGrayLevelEmphasis,328.3680667,346.5726186,292.9977761,238.3536995,232.4461654,278.9606164
original_glszm_SmallAreaLowGrayLevelEmphasis,0.006567261,0.004008007,0.004829779,0.010030609,0.009089716,0.007051246
original_glszm_ZoneEntropy,7.013548772,6.916988306,6.979385534,6.822229421,6.974117606,6.909993932
original_glszm_ZonePercentage,0.242184592,0.210432115,0.202898551,0.180163152,0.148447105,0.169558657
original_glszm_ZoneVariance,1066.972965,2322.257716,2295.313406,3463.536238,8782.846615,4077.319894
original_ngtdm_Busyness,1.879681473,1.577215022,2.102454002,2.302267578,3.471467124,1.714511513
original_ngtdm_Coarseness,0.001166282,0.000834607,0.000945952,0.000940938,0.000565954,0.000983386
original_ngtdm_Complexity,1807.745551,2392.847771,2064.061425,1714.250185,1660.922456,1992.205667
original_ngtdm_Contrast,0.271403326,0.105514026,0.12484356,0.12127293,0.09625387,0.102782185
original_ngtdm_Strength,1.543367663,1.805114748,1.958437386,1.959097357,1.436936491,2.854008736
