0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
original_glrlm_LongRunEmphasis,2.364225869,1.978920162,2.93826577,2.092184155,2.060267528,2.839655445,2.9145217,2.776239745,2.695707369,2.734155104,3.192527835,1.91084278,5.489429473,3.516130819,2.590245568,2.726448585,3.793399339,7.726521167,5.625051217,4.050058844,3.381226703,7.214576422,1.283696016,3.71795479,2.855875529,5.01717334,4.494162085,2.460767337,2.937367871,2.998686182,3.643009812,2.467479205,2.902588921,3.206269408,1.257348776,2.416260984,2.955452444,3.060016903
original_glrlm_LongRunHighGrayLevelEmphasis,51.31824231,60.07923896,30.63982132,68.26253463,215.1466421,37.3307213,40.80836571,32.69791311,113.3330827,50.42409267,120.3558557,163.8100679,34.33323456,44.18332484,38.93082965,38.31198538,53.39015373,58.76831216,52.47812124,166.2491235,62.34983419,121.3087236,168.8374611,62.091436,50.98708214,67.27479843,85.2534621,45.68006302,57.21561852,229.4745213,54.4153019,47.95063027,6690.768758,62.8567821,272.0066795,54.99482175,37.76238443,41.23509604
original_glrlm_LongRunLowGrayLevelEmphasis,0.130128064,0.078455538,0.343081897,0.075129542,0.022754935,0.269960366,0.244356521,0.29456926,0.069714083,0.182297988,0.091779785,0.027462606,1.104876608,0.332060303,0.215107254,0.232368538,0.324660039,1.172405458,0.663505559,0.104449082,0.218808303,0.471229005,0.013764086,0.282293361,0.220133258,0.456274433,0.271167489,0.192526898,0.189835154,0.04148041,0.272943404,0.15145146,0.002880072,0.189598826,0.007800524,0.129379196,0.273229228,0.263389821
original_glrlm_LowGrayLevelRunEmphasis,0.059436371,0.041847295,0.129109657,0.03720951,0.012447865,0.108838659,0.091847965,0.118760296,0.027020628,0.073706496,0.030609614,0.015686346,0.232778676,0.099908828,0.089967808,0.092782673,0.093611427,0.182450257,0.132297525,0.027835319,0.069750755,0.067760878,0.0112561,0.082538852,0.08741261,0.102405192,0.066355213,0.087659763,0.070804127,0.014715403,0.081627495,0.065636384,0.001896296,0.062974694,0.006442355,0.05854945,0.10065346,0.090567983
original_glrlm_RunEntropy,3.152028531,3.244479035,2.992990184,3.281605058,3.486804873,3.13405908,3.048816822,3.062859564,3.284715832,3.327703403,3.292535261,3.497240926,3.223593425,3.208929162,3.184674085,3.043002123,3.334652985,3.183288139,3.171185261,3.36472547,3.393906934,3.511519331,3.967953025,3.485647959,3.446539138,3.531704612,3.370571264,3.393656616,3.317584571,3.19081434,3.103498032,3.165819857,4.041581665,3.252708133,4.121819111,3.24520953,3.013947912,3.035794024
original_glrlm_RunLengthNonUniformity,769.8578687,942.2823889,646.8352667,1486.991438,644.5440425,624.3357388,817.8637911,582.4641865,1460.083007,938.5692151,987.2095428,2350.609981,636.9078003,821.8324874,1299.518225,864.5761524,808.6677155,390.2710969,616.0539935,691.5963261,880.4726371,470.8853965,2107.884105,574.1870118,510.1545652,481.9217321,416.5936623,1014.483728,711.0309673,613.0255618,486.9467632,1162.097999,952.702435,809.2477402,2045.978857,1022.226411,741.5145425,971.5356631
original_glrlm_RunLengthNonUniformityNormalized,0.595786688,0.655658022,0.527024244,0.637457898,0.640699686,0.538735437,0.535982778,0.538853955,0.554155581,0.547046941,0.500077256,0.671819654,0.386024907,0.483806515,0.571738969,0.546752459,0.468809537,0.33540643,0.396424278,0.450042838,0.489926345,0.335957333,0.848838102,0.479341822,0.56492217,0.398947037,0.444942201,0.595436059,0.541474686,0.529443682,0.476809642,0.579700924,0.548429482,0.520089971,0.861356509,0.602565388,0.525601963,0.519347498
original_glrlm_RunPercentage,0.740423454,0.788747301,0.681939425,0.773561216,0.776137176,0.692168758,0.688628001,0.69585645,0.707066917,0.702085781,0.660466689,0.800258119,0.549642218,0.644286349,0.718626059,0.700683074,0.628920559,0.489174287,0.547508048,0.611053993,0.653931814,0.498475219,0.918183887,0.637023139,0.711831943,0.569514425,0.605782068,0.741039244,0.69549557,0.68529371,0.632794791,0.728055126,0.692091356,0.675126731,0.925205348,0.744262407,0.682068784,0.676040906
original_glrlm_RunVariance,0.511206824,0.361131544,0.755329095,0.404856383,0.388414883,0.70860845,0.754036251,0.663477617,0.647073001,0.659015362,0.840421329,0.332563382,1.838078709,0.996376807,0.621946352,0.657248669,1.112668414,2.867941007,2.025933184,1.219588053,0.908919952,2.523585245,0.097122592,1.098043086,0.727793863,1.576760049,1.40024716,0.541214945,0.747057549,0.783051322,1.064901392,0.553263183,0.766338099,0.865795999,0.088135541,0.542978376,0.751253226,0.800838764
original_glrlm_ShortRunEmphasis,0.798221948,0.836777938,0.751669939,0.825180667,0.827648249,0.759729844,0.757007252,0.758932993,0.76929179,0.764283457,0.73018878,0.845225514,0.632251587,0.716378737,0.782996806,0.765157723,0.70383113,0.580055125,0.642834695,0.688726893,0.718861845,0.577782394,0.937650185,0.711588686,0.774347676,0.640529467,0.682024063,0.794096046,0.758223287,0.750846009,0.712906116,0.787621449,0.766992776,0.742239843,0.943113215,0.800656389,0.750198191,0.745301229
