0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2,2.1.1.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8,3.6.8
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,05384775da731bf8bc99f81b248698723fb41086,7ccec9d7aa296011210a9bc7f52942f07cc3a1f9,f20143ec65e3df527db8d540e3ab202d93f9a7f9,63c534de2d4ba2b95f2e2bd223e6079cff65aed1,db239aba31de7034fe9df9de70ea6f7aa7a0cd3b,08413bf74a598a3a02a37a8067fa8cd4da1e88b0,ae40bcd69d945e3d2250d7f7c84791eb0417f922,48566eb6f8df8e194c2a45f6999f93e2fc906acc,6d23f338e5f56ecb94bfaaf35a55d55152815043,5bf30e246bfbf4d06ec94ab2e27a639a6307822f,ae0ed9bf1695b0af19c78e16ba61d41cb573b538,8b41fa82fa32d3077e4c0058a605a1b3de055fee,480e410716cd762db97c2e7979b49e5b0a8bce54,220c97793a3984c73cdcfac9e5e3c316ed996378,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97,78d17b80a424e0fd8b623a4b4020013bcc52574e,870b2555d79275e1879c80e1a6201c97e4516be8,bdbea334508b725aa7fc42cffdeb11921b565840,a2633cbcab7907859ddbd7c31df51dd0c81cb48a,4553fe20c9fc86d05f44895623461e2fc7affdff,e844206d752062579e0441e5f7db21522adaad6e,cc48e4509fd142c6840c59ab6aff0fbd029d8d58,14d686c0d37aec26415a5ee0d6eab7ff5db4d81c,ec5ed423640e8b07956cc9a6ec46ad67ca2fd65f,61b7f5957d02fcbe7ed6b7c5e6a765b1e8021761,e8538daffd65cb9198a196399ab1a0c8f86b1d5a,70493bcf037ed1883a5cefe9b24525d540a58c2a,6d121e94f075956b65993826fd067bca8658b5eb,ce95da837175dd11bbe67beb792cd5df549b3afe,8dd960e5ad284a3aa44975050f38a7304966aa70,b923c348793b9121160ab3ba5ece72e5b25cf83a,83cef79e9db00927fdd629a802c8e4285ff46733,e867abe4fdad471c793a4e52e5ef1256e58b550d,0ad74b934f63b25e0497aecc4970b967f6935edc,5d7acdbd3fe96844e0885b124aa12f72abaf154f,251793129652d383e22d1e030d974b641ac3fbbf,a4705d82f491e80a07c1f51195ecb0baad5d808c
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 230)","(512, 512, 218)","(512, 512, 224)","(512, 512, 222)","(512, 512, 241)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)","(512, 512, 256)","(512, 512, 297)","(512, 512, 273)","(512, 512, 223)","(512, 512, 293)","(512, 512, 285)","(512, 512, 222)","(512, 512, 250)","(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)","(512, 512, 265)","(512, 512, 289)","(512, 512, 273)","(512, 512, 281)","(512, 512, 293)","(512, 512, 281)","(512, 512, 233)","(512, 512, 245)","(512, 512, 253)","(512, 512, 174)","(512, 512, 209)","(512, 512, 217)","(512, 512, 241)","(512, 512, 124)","(512, 512, 110)"
diagnostics_Image-original_Mean,-1141.520721,-1154.836041,-1197.291595,-1101.820488,-1277.137412,-1188.489662,-1126.253482,-1137.374241,-996.640066,-1123.891351,-1104.142686,-516.543109,-1151.270818,-1054.02202,-1012.851869,-1105.970016,-1136.979266,-1151.493403,-1151.388022,-1179.741686,-1170.108241,-1134.503584,-663.3366116,-1153.719511,-1227.183694,-1190.85532,-1204.314255,-1120.142927,-1171.405513,-764.7614852,-1144.830894,-1045.066132,-650.0569135,-1045.215637,-971.0189604,-1011.787622,-574.7753596,-513.6912162
diagnostics_Image-original_Minimum,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-1024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-3024,-1024,-3024,-3024,-3024,-3024,-3024,-3024,-1024,-3024,-3024,-1024,-3024,-3024,-3024,-1024,-1024
diagnostics_Image-original_Maximum,3071,3071,3071,3071,3071,3071,3071,3071,3071,2703,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071,3071
diagnostics_Mask-original_Hash,8cc9f95d2afa4df21978645ac501f33c4c3be534,682cfc4a25fabf8ec006da92e3d7d5e5e6262c7c,8967f6d29ef4838f88465ed8fc1831be15b9be9b,21caaa44999a82c5c305bb27dd31e01ef1041008,47678f7dc2c6815cfa00cc94274fe3efbaa21b4f,c91e168e51f817952d63afcc586796fa7de77111,9de98b968a3f666c37169c49a19d0c927ced2aee,4351abeb52fbb4f3393db344d5205b52cec2e92d,be3adfcca195daf964866d869ab20eff05fad66d,b0f801aefeabbfbcb33dec214a0c70bd49d5f687,1513b03bd09116b5cd81f963f24ae6a18f9c38c5,726a856390dc04057879bc943772c6d34ebce887,1b21f04b5f65dbba22a4cb65f55496d9c0ce7946,1a10ade5db1f15de782537411151eb0fad705bb1,36362ca1e8113e237c9bb895e148db30a8a8ef36,a087d556d9812fc7388a6900ca748ffc0d1c663f,6b1438a872089e0b4d01ff3334fbb4abeb025128,7690b517d4de73316f98b0bf212d3bb1d09cb07c,aef01acf6508e182ebaded4063624d2b5a185e0e,0783d6df5360eb017ff390979ee3ffd28fce1011,1ac7ccc9fb0cba4a43cf61e7ff6ce7e9a5b4b6b7,5b4f80a2413cba2266a3a9368af84335d770cb4b,f0c384e82fec481ebf77805ccd5be6a16af4b529,cf467dcf4b1015bd4d632bc972ecdf210e6fa444,290bd75573cb2bb571514341f654caade1dafedc,c84f217a119fcae86e1ffae6a59dfbcc1e3656d2,5fd41a35f299662abf73fb5b3f1eba9e7619fcd9,6aad4852d14d3ad67e5c76eb00b5b755d40bca87,1fe5a56de48fa414c912a8b8df688d725a1ceed1,a895c715b4713a9c010c0be54fedcbb39a07dd8d,bea8316c31d4fddddb9727d4b205ac5437be7acb,573e7973fd1afa716a1ee915df2978e7c59156d3,2289ad68cfe5bde57cd0afb1682c1fef77a58cf0,70aa70bff80a2dfa9edcca7c337fa8c00638f9ea,b10b2ac4b6f8c6af78d4ab2817030363912aa596,20275ff6de758504c26c7fe255e90df8bceb567c,77d0e31022fa0a3fc5417dded452c14a1506df21,07d2ef8cadee94ec31336e56e2c970df1b6e6ed0
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 230)","(512, 512, 218)","(512, 512, 224)","(512, 512, 222)","(512, 512, 241)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)","(512, 512, 256)","(512, 512, 297)","(512, 512, 273)","(512, 512, 223)","(512, 512, 293)","(512, 512, 285)","(512, 512, 222)","(512, 512, 250)","(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)","(512, 512, 265)","(512, 512, 289)","(512, 512, 273)","(512, 512, 281)","(512, 512, 293)","(512, 512, 281)","(512, 512, 233)","(512, 512, 245)","(512, 512, 253)","(512, 512, 174)","(512, 512, 209)","(512, 512, 217)","(512, 512, 241)","(512, 512, 124)","(512, 512, 110)"
diagnostics_Mask-original_BoundingBox,"(291, 296, 110, 26, 24, 5)","(317, 274, 109, 23, 23, 5)","(326, 283, 111, 22, 23, 5)","(298, 284, 126, 29, 29, 5)","(305, 264, 116, 20, 18, 5)","(317, 256, 104, 22, 22, 5)","(308, 271, 102, 24, 23, 5)","(310, 287, 121, 23, 20, 5)","(291, 278, 127, 32, 34, 5)","(274, 276, 148, 26, 27, 5)","(288, 269, 136, 28, 29, 5)","(269, 284, 104, 36, 36, 5)","(303, 263, 177, 28, 29, 5)","(251, 251, 172, 27, 27, 5)","(307, 279, 107, 30, 30, 5)","(275, 289, 140, 25, 25, 5)","(303, 279, 112, 26, 27, 5)","(284, 280, 104, 26, 25, 5)","(332, 263, 120, 27, 29, 5)","(294, 279, 118, 27, 27, 5)","(304, 267, 126, 27, 27, 5)","(278, 271, 114, 27, 28, 5)","(278, 258, 98, 27, 29, 5)","(300, 254, 132, 23, 22, 5)","(328, 241, 140, 19, 20, 5)","(294, 258, 138, 23, 25, 5)","(303, 243, 140, 20, 22, 5)","(289, 233, 142, 26, 26, 5)","(281, 245, 136, 22, 24, 5)","(315, 258, 112, 22, 22, 5)","(312, 293, 117, 21, 21, 5)","(308, 284, 122, 27, 26, 5)","(306, 255, 87, 27, 27, 5)","(288, 251, 104, 24, 26, 5)","(344, 266, 108, 27, 30, 5)","(287, 256, 120, 25, 26, 5)","(247, 268, 57, 26, 24, 5)","(300, 274, 50, 30, 27, 5)"
