,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,ec66ff009dcc6ba4e39f125bb2f7c3f568b16783,dc9769954d37b2222c3c8012201cffb1cc248b97
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 250)"
original_glszm_GrayLevelVariance,127.40261966725599,121.78766678300086
original_glszm_HighGrayLevelZoneEmphasis,596.0243224461432,453.8580310880829
original_glszm_LargeAreaEmphasis,63.997220291869354,628.1642487046632
original_glszm_LargeAreaHighGrayLevelEmphasis,37581.29291174427,53274.787046632126
original_glszm_LargeAreaLowGrayLevelEmphasis,1.62974152435339,19.671443340673456
original_glszm_LowGrayLevelZoneEmphasis,0.008464001209163997,0.01579970391039295
original_glszm_SizeZoneNonUniformity,1277.1167477414872,871.1170984455958
original_glszm_SizeZoneNonUniformityNormalized,0.4437514759351936,0.45135600955730354
original_glszm_SmallAreaEmphasis,0.6924869139878952,0.6986978202200138
original_glszm_SmallAreaHighGrayLevelEmphasis,412.5552265170539,339.60606350241915
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005760098282225802,0.00947230153202833
original_glszm_ZoneEntropy,7.04529387194072,6.846705610602332
original_glszm_ZonePercentage,0.4076487252124646,0.2817106991680047
original_glszm_ZoneVariance,57.97955784482796,615.5635880157855
original_ngtdm_Busyness,1.0581875905851459,1.689123998580953
original_ngtdm_Coarseness,0.0013101686486328636,0.0011575400393993831
original_ngtdm_Complexity,4025.338144419468,2735.9763539469072
original_ngtdm_Contrast,0.6008714614449484,0.37844754164172656
original_ngtdm_Strength,1.532594495235609,2.0848543382399467
