diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(282, 184, 183, 17, 15, 12)","(273, 195, 194, 10, 10, 11)","(309, 193, 171, 12, 12, 12)","(258, 213, 192, 14, 13, 12)","(283, 193, 177, 14, 13, 12)","(284, 171, 174, 13, 12, 11)","(262, 176, 165, 15, 15, 11)","(288, 202, 211, 14, 14, 10)"
diagnostics_Mask-original_VoxelNum,1405,574,865,1131,1048,818,1124,1024
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
original_firstorder_Entropy,3.0615819435249865,2.9824570451547556,2.931564899294956,3.2840783355715923,2.9525311383239994,3.018103766885513,2.818732834371731,3.0896117605823386
original_firstorder_InterquartileRange,49.0,47.75,44.0,62.0,49.0,52.0,46.0,50.25
original_firstorder_Kurtosis,31.695099215164166,35.73422228441687,37.51284445955453,27.485022121312657,39.9536721023442,29.509047677527683,47.51752935612712,34.5802435701228
original_firstorder_Maximum,130.0,52.0,32.0,276.0,82.0,-93.0,19.0,136.0
original_firstorder_MeanAbsoluteDeviation,55.71751016324513,49.59273513093517,46.18359717999266,65.10739773961213,45.964385088281574,47.09332500403512,41.03340256582362,52.30099296569824
original_firstorder_Mean,-813.4640569395018,-797.4163763066202,-813.9445086705202,-794.3457117595049,-826.3082061068702,-814.0794621026895,-833.4893238434164,-812.9052734375
original_firstorder_Median,-836.0,-816.0,-831.0,-820.0,-842.0,-831.0,-847.0,-833.0
original_firstorder_Minimum,-967.0,-917.0,-943.0,-952.0,-962.0,-935.0,-962.0,-961.0
original_firstorder_Range,1097.0,969.0,975.0,1228.0,1044.0,842.0,981.0,1097.0
original_firstorder_RobustMeanAbsoluteDeviation,21.686733007434047,21.464881117630725,19.674997494069295,26.09343310568681,20.547630624437623,22.99158379021878,19.719102416007516,21.791924964580552
original_firstorder_RootMeanSquared,821.972378768943,803.8646624092785,819.3461710271664,805.4807522613335,831.6378825835748,818.5691187679199,837.6356978290622,819.5264227693867
original_firstorder_Skewness,4.929203934603066,5.082043956601428,5.146408344026366,4.5551600875773985,5.261763693301834,4.372499036427718,5.636844664574302,4.912012187900345
original_firstorder_TotalEnergy,949272221.0,370917879.0,580698848.0,733791943.0,724819403.0,548105319.0,788636124.0,687742523.0
original_firstorder_Uniformity,0.17282607869707833,0.17238888416758733,0.1892839720672258,0.14583856136952267,0.18165644484587146,0.17181867635894094,0.1959226706855283,0.1730823516845703
original_firstorder_Variance,13914.819526601737,10325.518268401951,8822.48478198403,17814.13247276926,8836.316268537674,7330.031583084751,6929.109316624662,10808.574034690857
original_glcm_Autocorrelation,58.48131576965979,35.574019188950025,39.78948619441813,72.73280330603616,46.7624926517705,39.442198688067236,41.28066552672678,54.81884985128969
original_glcm_ClusterProminence,125026.46488157503,46335.28961001745,40414.91768714892,184645.19158864795,49499.641318438604,23311.843918403778,29887.998448639566,60989.55537670728
original_glcm_ClusterShade,2356.757262359457,1026.5785459654126,927.6411184214174,3251.9101785719986,1051.1007829126024,616.4395265659089,673.2756521366139,1259.4449207559587
original_glcm_ClusterTendency,60.053630817352776,35.09065562057811,33.430616474125706,78.05309783145016,34.65205201298739,28.413749253205125,25.342023563445107,41.468433104195704
original_glcm_Contrast,12.656322449908268,10.641128914055827,10.591926199535266,16.76370551601401,9.876064373553659,9.127237098237108,7.9909091815388305,10.870462605917398
original_glcm_Correlation,0.6364074342764572,0.5232215864108819,0.5090751294450313,0.6322349623183791,0.5499435974892909,0.5066666273286466,0.5114361874544202,0.5763348892982119
original_glcm_DifferenceAverage,1.875546350998962,1.7970217821379213,1.773096522965517,2.2066608424643217,1.7630803574211968,1.7852753117536981,1.571532459011426,1.8436891268461422
original_glcm_DifferenceEntropy,2.45663166401788,2.41583762316959,2.4106920987093305,2.6485113001511285,2.413455772606715,2.4364315445760396,2.2797407782606993,2.4711023520919593
original_glcm_DifferenceVariance,9.035950952908838,7.334185809088169,7.365740735781003,11.75615797945356,6.695910518928967,5.863398002527905,5.453105255071344,7.363497212604993
original_glcm_Id,0.5302780922368289,0.5308199905535305,0.5376471162261967,0.4938969493230237,0.5323033739018749,0.5236797825162485,0.5562805198920396,0.5266834423345257
original_glcm_Idm,0.4809757916605672,0.47993162087815483,0.48961942644638196,0.4360492080934875,0.482154426988679,0.4721822632867025,0.5114279794011906,0.4750461016033365
original_glcm_Idmn,0.9945046720164397,0.9941823372731365,0.9942171259274335,0.9942928598815471,0.9952049727176022,0.993365794919761,0.9955419911587224,0.995173512238268
original_glcm_Idn,0.9631146711541667,0.9601818208107246,0.9607495631167174,0.961708543940033,0.9632164358186907,0.9548290080225713,0.9646484257125523,0.9632728598394849
original_glcm_Imc1,-0.14655793221605665,-0.13993338237236574,-0.13457470756923645,-0.1518271578026499,-0.12054632129472533,-0.13107229625576083,-0.11960920901232079,-0.14504205865435077
original_glcm_Imc2,0.7506057293107499,0.7338095973073059,0.7195513295461466,0.7781305400630077,0.6923803845506833,0.7210298889203872,0.6727320716453051,0.7503346099569891
original_glcm_InverseVariance,0.43997594095978115,0.4329831899464284,0.4414728244780554,0.4135425550884238,0.43740966283040034,0.43858565594626325,0.4501341377789656,0.4270798236692816
original_glcm_JointAverage,6.828429683766254,5.427398508908409,5.837641003928957,7.57660893130319,6.369231507785579,5.883875531954628,6.07802099090437,6.867774428835601
original_glcm_JointEnergy,0.03906045688458522,0.03840626343892074,0.044304882753553015,0.027188564632166044,0.040716715971443475,0.036683364040374075,0.04741793441572854,0.03841517134630752
original_glcm_JointEntropy,5.571093180931294,5.421111648489555,5.400156544510433,5.994822475387965,5.456909203095399,5.5658136640879885,5.204364110094062,5.664080737742408
original_glcm_MCC,0.8474641043666318,0.7627036971198139,0.8047614985144312,0.856600708466123,0.8055139360131259,0.7632167098965784,0.7869835855525554,0.7983963568855772
original_glcm_MaximumProbability,0.09469692219373714,0.0874024086125514,0.11687694533091506,0.06079147558417113,0.09650832967564248,0.09421799798377986,0.10183997357349718,0.1129469038960976
original_glcm_SumAverage,13.656859367532508,10.854797017816814,11.675282007857913,15.153217862606388,12.738463015571162,11.767751063909252,12.156041981808738,13.735548857671201
original_glcm_SumEntropy,3.7822648671406345,3.6728163097655906,3.6785704902473406,4.026292137751531,3.671328921427995,3.7640964549648066,3.560328540851266,3.848774193634921
original_glcm_SumSquares,18.177488316815264,11.432946133658483,11.005635668415245,23.704200836866036,11.13202909663526,9.385246587860559,8.333233186245986,13.084723927528275
original_gldm_DependenceEntropy,6.24753393946413,6.039098742474442,6.094772535830182,6.311480080925545,6.175102954246564,6.076850085727758,6.0884070084858655,6.230940923188894
original_gldm_DependenceNonUniformity,117.71601423487544,52.47735191637631,71.23583815028901,109.28470380194518,86.94847328244275,74.46210268948656,89.29359430604983,88.236328125
original_gldm_DependenceNonUniformityNormalized,0.08378364002482239,0.09142395804246743,0.08235357011594106,0.0966266169778472,0.08296610046034614,0.09102946539057036,0.07944269956054255,0.08616828918457031
original_gldm_DependenceVariance,12.07321791770621,10.530624385387707,13.390897123191554,9.11097821149957,12.601494668142882,10.061052958793885,13.043426501690709,12.550533294677734
original_gldm_GrayLevelNonUniformity,242.820640569395,98.95121951219512,163.73063583815028,164.94341290893016,190.3759541984733,140.5476772616137,220.21708185053382,177.236328125
original_gldm_GrayLevelVariance,22.414520586112133,16.723770471900835,14.335933709779813,28.69221309905477,14.25557131723093,11.754777888702243,11.120287230404884,17.40896511077881
original_gldm_HighGrayLevelEmphasis,71.12597864768684,48.29094076655052,50.0728323699422,88.50486295313881,56.344465648854964,47.432762836185816,49.19928825622776,66.6142578125
original_gldm_LargeDependenceEmphasis,50.23131672597865,44.47038327526133,51.94566473988439,38.05747126436781,50.08206106870229,43.951100244498775,57.37722419928826,49.328125
original_gldm_LargeDependenceHighGrayLevelEmphasis,1866.162277580071,1084.1341463414635,1422.8335260115607,1764.6091954022988,1732.0849236641222,1275.726161369193,1806.532028469751,1974.8916015625
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.5949053103837256,2.372989620994716,2.270960926820513,1.0148935603622633,1.7071364382372818,1.8781295321082514,2.099130473841293,1.4872370474512615
original_gldm_LowGrayLevelEmphasis,0.0335817522521092,0.06415974102174708,0.05176700229577275,0.029284418137032923,0.03948773047435552,0.04730391825669672,0.038719386410536474,0.0337798262647706
original_gldm_SmallDependenceEmphasis,0.12679379653487619,0.13261163386808394,0.13520536252091167,0.14996799097072255,0.1290412475469353,0.12356095246023129,0.1032672812299026,0.1191047263052768
original_gldm_SmallDependenceHighGrayLevelEmphasis,32.07425255301338,24.294210086023913,20.8351915367518,40.31721097954574,18.43071220477477,18.442570812426087,17.721511539463112,21.64315203030854
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.004403431524398915,0.008572438718685921,0.007960820206308127,0.0044097705400461635,0.0053645290677109495,0.006398829809587864,0.003877809809853587,0.0034633889244024773
