diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(283, 316, 181, 22, 23, 13)","(281, 284, 197, 15, 15, 12)","(298, 297, 174, 19, 18, 13)","(263, 331, 190, 21, 21, 12)","(296, 305, 174, 20, 21, 14)","(298, 271, 179, 18, 18, 12)","(279, 300, 167, 21, 21, 13)","(293, 315, 205, 19, 19, 12)"
diagnostics_Mask-original_VoxelNum,2987,1329,2034,2694,2580,1624,2666,2156
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
diagnostics_Image-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Image-original_Mean,-1101.8204879932575,-1277.1374121859856,-1197.291595356805,-1141.5207212199336,-1154.8360413017622,-1188.489662082107,-1126.2534818203649,-1137.374241118412
diagnostics_Image-original_Minimum,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0,-3024.0
diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,9a4ef43b3e2dca895d28dce642c8a6a92d5f1714,734b15118d601058c46d5c137bccb6ba3c78c5b9,3564bf4137341e063b64192d8bb2ed0c69aaa4d6,99a411ebbfeddbc0b5608d92d36735aba05cf42e,c863a2c32f6082558956eed46c837c914e85a19c,49707c8075cea98dfd0de91beed38c161fa4ee3b,4a3e8064effeb6033aa084aefcd0e8117e30d70e,72018bb3c0055b807924bf10bc8396841567b7de
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(283, 316, 181, 22, 23, 13)","(281, 284, 197, 15, 15, 12)","(298, 297, 174, 19, 18, 13)","(263, 331, 190, 21, 21, 12)","(296, 305, 174, 20, 21, 14)","(298, 271, 179, 18, 18, 12)","(279, 300, 167, 21, 21, 13)","(293, 315, 205, 19, 19, 12)"
diagnostics_Mask-original_VoxelNum,2987,1329,2034,2694,2580,1624,2666,2156
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(293.4800803481754, 326.23334449280213, 187.54201540006696)","(288.2310007524454, 290.74341610233256, 202.55981941309255)","(306.5693215339233, 305.43657817109147, 180.27138643067846)","(273.15924276169267, 340.4446919079436, 195.88418708240533)","(305.2329457364341, 314.46627906976744, 180.87790697674419)","(305.95258620689657, 280.01293103448273, 184.96182266009853)","(288.7100525131283, 309.1605401350338, 173.99024756189047)","(301.77179962894246, 323.8334879406308, 210.49628942486086)"
