diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d1cbd93c0a4cdc540acd9bbb7e761d30a03c36ad,3a180b2d834704b44cf2ac6dd3e5916f71615eca,a3549de8f5cff9edcca1387e34b042b3c12200f4,a44fdb6d372fcf497f837f65c84042bdcf45016c,bc5d0eabe580cc188e1ee0d1832c5363905b525b,c629203de592e7ce5fda814ba1b6b6a309b28f8f,253962ed9f55bcbfa9725bf6710ec93a45df3631
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 296, 138, 29, 28, 17)","(194, 317, 102, 30, 29, 14)","(146, 283, 139, 31, 32, 18)","(216, 285, 151, 27, 28, 17)","(169, 304, 121, 31, 32, 17)","(154, 289, 157, 31, 38, 18)","(169, 299, 115, 33, 31, 18)"
diagnostics_Mask-original_VoxelNum,4660,4147,6302,4653,5719,7183,6610
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
original_glcm_Correlation,0.7280446356925491,0.6612391329139531,0.6025657919791882,0.5437326150244779,0.6086352722524213,0.597638987609004,0.6285635501766471
original_glcm_DifferenceAverage,4.296007985868189,3.689690177193403,2.0007704543247873,2.231813755521978,2.008752868810926,1.8324135992228072,1.8716985059118052
original_glcm_DifferenceEntropy,3.633762766388948,3.055531914692173,2.5934249845189106,2.739074687853808,2.613853235821334,2.4979913067387987,2.5528767532878684
original_glcm_DifferenceVariance,18.963153463450123,53.74401277196709,10.172531469351318,11.45406095103988,8.777207533656092,8.275022212048004,7.290705437626529
original_glcm_Id,0.3559943914124601,0.5201026264803429,0.5464128492404416,0.5181676583127752,0.5369301241768376,0.5597909041518394,0.5475728396405293
original_glcm_Idm,0.2783888179873751,0.4773130151082594,0.5018014935648697,0.4675110106384518,0.4898129441761604,0.5174956460843206,0.5017489548972914
original_glcm_Idmn,0.9868760615399583,0.9860266031211157,0.994974918760886,0.9945701572948548,0.9935842818755218,0.9956511254650131,0.9955673014495977
original_glcm_Idn,0.9288018354440586,0.95337996049668,0.9651619864375132,0.9626316591312505,0.9588762832992773,0.9671667110504448,0.9649176535757681
original_glcm_Imc1,-0.16681222532131754,-0.20381391667273438,-0.14440541468034393,-0.1267339703897372,-0.1652254650709146,-0.14201893862575632,-0.1562791146051175
original_glcm_Imc2,0.8769470019809897,0.8608486759615567,0.7556439344205917,0.7335354709115299,0.7987289571115821,0.7412856047965735,0.7784107146480095
original_glcm_InverseVariance,0.2595525905344224,0.3790719071295129,0.4152443875935428,0.40132247468846916,0.41086731999028514,0.4225925425391062,0.41160703292591244
original_glcm_JointAverage,11.581323777190969,6.785764951080652,6.0536391139967884,6.318950568262259,6.390278935360486,6.147998851766847,5.275485888637972
original_glcm_JointEnergy,0.006511974809100602,0.038779008185705705,0.03457631454827453,0.030144373441832295,0.027748726484044323,0.040732596263778356,0.030978574266338342
original_glcm_JointEntropy,8.597838373283944,6.303938716978353,5.982383349327714,6.200227747311611,6.273081011859268,5.78976931065864,6.10472851748561
