diagnostics_Image-original_Hash,033088426a85f676a3ace65e998d85e1c217bfe8,17cf530605cf63edaebab3f013c6f9c21017cfa8,1fdd8ccfcf2af920b67629f35c2189f6b364f612,3ea681edbc43f76310b1983d150909e26096ac05,304f7581bf544cb9305052603b91ad9bb1ae0016
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 253)","(512, 512, 249)","(512, 512, 261)","(512, 512, 241)","(512, 512, 241)"
original_gldm_DependenceNonUniformity,1345.505383695095,890.6181262729124,1987.1652466811968,1105.6996472097499,987.2047721494231
original_gldm_DependenceNonUniformityNormalized,0.114980805306366,0.1133678877638636,0.09843299220731111,0.08865455798667013,0.09653870253759271
original_gldm_DependenceVariance,11.512154117456985,14.427176965418264,17.914619752845148,22.523928699710055,18.46839804918905
original_gldm_GrayLevelNonUniformity,686.6586908220817,615.109215885947,1114.0658807212205,1068.9451571520206,938.4781928417759
original_gldm_GrayLevelVariance,146.2558150035399,122.2251955126078,114.12644092577521,104.37411333780226,109.6287321744686
original_gldm_HighGrayLevelEmphasis,350.6979148863442,277.9982179226069,267.321626708936,194.6652501603592,228.39311558771757
original_gldm_LargeDependenceEmphasis,32.356349341992825,37.17871690427699,46.863582326134335,58.07504810776138,48.43829454332095
original_gldm_LargeDependenceHighGrayLevelEmphasis,6981.377798666895,2573.3874745417515,2953.9943035466613,2077.9332103912766,3126.4042636416975
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.1294239879593435,1.69600678799889,2.8629625420279736,7.358405725667021,2.7637746874611833
original_gldm_LowGrayLevelEmphasis,0.022374133651949603,0.02717868596731229,0.03140178653645131,0.07167676983246658,0.037942738493902936
original_gldm_SmallDependenceEmphasis,0.25423827753858663,0.27119706954971146,0.22229700511000827,0.22204675758785555,0.240546577577696
original_gldm_SmallDependenceHighGrayLevelEmphasis,129.13282767909064,133.3420312674319,113.34740514469823,98.44176937524719,105.92338524256361
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002733570670007523,0.0031862405045516374,0.0029631535824611475,0.006806048994211608,0.0042348250748254455
original_glrlm_GrayLevelNonUniformity,522.653530038346,431.0477521485909,793.6804536336296,711.5624641213982,614.632077127264
original_glrlm_GrayLevelNonUniformityNormalized,0.05169992714439142,0.06411392011700977,0.04723076818286032,0.07042787132790666,0.0725038119962358
original_glrlm_GrayLevelVariance,146.39922929162412,128.23603721343565,120.67652503951662,114.70860901540597,116.89218529196486
original_glrlm_HighGrayLevelRunEmphasis,368.9323344947651,307.92760412687187,301.7580852872055,227.22514540670042,257.3653306502314
original_glrlm_LongRunEmphasis,1.5789097200604134,1.6213397354864902,1.7890770764989854,1.9488576045193469,1.7976204141054524
original_glrlm_LongRunHighGrayLevelEmphasis,502.7244321438098,365.2185708071375,369.0010937127432,272.7710570706628,320.798125094458
original_glrlm_LongRunLowGrayLevelEmphasis,0.03977730277709715,0.05136513864681638,0.0713406582401232,0.17494097831255767,0.0782279322111831
original_glrlm_LowGrayLevelRunEmphasis,0.020811483789141612,0.024671927918705767,0.02719563303198039,0.062379118783506333,0.034647411211152626
original_glrlm_RunEntropy,5.4748805663323825,5.294694385635239,5.583983798367948,5.276522940832426,5.227657392709564
original_glrlm_RunLengthNonUniformity,7842.095582253251,5157.367536513892,12451.80651971297,7211.011744625043,6211.009609964914
original_glrlm_RunLengthNonUniformityNormalized,0.7747212880277919,0.7667795056700499,0.7401751494968831,0.7132775276286942,0.7323745894221173
original_glrlm_RunPercentage,0.8628636787925799,0.8550054833150555,0.8315221532974653,0.8091355405338727,0.8279047375468263
original_glrlm_RunVariance,0.2280485557121576,0.24941903333202176,0.3356248637491261,0.41480228779738365,0.3326679140263552
original_glrlm_ShortRunEmphasis,0.9012033308495292,0.8973292280438265,0.8832602515220701,0.8690048826475756,0.8794074509571664
original_glrlm_ShortRunHighGrayLevelEmphasis,344.63924371305984,295.991418900067,288.1670890848251,218.0056461731239,244.86899767301898
original_glrlm_ShortRunLowGrayLevelEmphasis,0.017724081678428046,0.02051828986664864,0.02163510858938849,0.04899257251876505,0.028323178532579214
original_glszm_GrayLevelNonUniformity,93.09848942598187,66.00042535091451,137.34081796311148,88.78677196446199,82.43740795287187
original_glszm_GrayLevelNonUniformityNormalized,0.02812643185074981,0.02807334128069524,0.027534245782500293,0.02921578544404804,0.03035250661004119
original_glszm_GrayLevelVariance,124.56876297222553,126.91784901616566,127.82784034529702,140.72454753770796,124.3611235226368
original_glszm_HighGrayLevelZoneEmphasis,523.2888217522659,517.5980433857933,537.3221732157177,453.60348798947024,453.12371134020617
original_glszm_LargeAreaEmphasis,673.9365558912386,1047.4130157379839,2180.108660785886,1866.154656136887,2349.9167893961708
original_glszm_LargeAreaHighGrayLevelEmphasis,42861.10483383686,28591.353466609955,56621.13051323176,28717.665350444226,54017.14801178203
original_glszm_LargeAreaLowGrayLevelEmphasis,23.173996978762567,44.865594304425336,138.43661188610588,214.6072668546868,127.23939052646637
original_glszm_LowGrayLevelZoneEmphasis,0.010377076218305676,0.010482286926824997,0.011589632384971234,0.028323657127784816,0.01726297164684657
original_glszm_SizeZoneNonUniformity,1449.2253776435045,1131.6048490004252,2078.1138732959103,1385.086870681145,1276.0331369661267
original_glszm_SizeZoneNonUniformityNormalized,0.43783244037568114,0.4813291573800193,0.4166226690649379,0.4557706056864578,0.46982074262375795
original_glszm_SmallAreaEmphasis,0.6879429005747835,0.7213817329309715,0.6700799569569097,0.7020541810867672,0.7127054314073538
original_glszm_SmallAreaHighGrayLevelEmphasis,374.86048244869033,381.8079092360609,377.9858039177968,354.2176154743943,346.0401668663182
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0057423630052864,0.006901005559631766,0.007670305223834193,0.017875210222438803,0.010523265309173975
original_glszm_ZoneEntropy,7.052576820148127,6.8821913183411425,7.204044528720524,7.003684711649108,6.873789125831317
original_glszm_ZonePercentage,0.28285763117415824,0.29926171079429736,0.2470774717654052,0.24366581141757537,0.2655974965773518
original_glszm_ZoneVariance,661.4378744261187,1036.2470139949678,2163.727913793425,1849.3119913863004,2335.740843547537
original_ngtdm_Busyness,1.4011990524805673,1.5001829016149475,2.0241958199859016,2.247564795397545,2.1722607469487407
original_ngtdm_Coarseness,0.0008178854702310634,0.0009599800110215727,0.0006352943305482472,0.0006838708707272077,0.0007628939781853358
original_ngtdm_Complexity,6331.152609907005,6225.488250540748,5771.369181422729,6601.95989865203,5106.663061370448
original_ngtdm_Contrast,0.1839631177100452,0.17539954702722577,0.10502813620912055,0.1009873553174973,0.1477118379124235
original_ngtdm_Strength,4.0152740518876175,5.04321936248474,3.263734204984473,5.7049585597132255,4.425413769222753
