diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,b58c32f15380303943b79115c5bf9093253c1f6a,282a31f1016a24d7c0a791892a308d930b2b74e6,f1fe9d74c08de3437e8f193f716f6c56fa4515f2,a6e3bcb137177fb9c029312f1a587fe4dee28297,9d79235d0a853f54cb7f78aeb15b6adbba1fe265,cb4d1e0c4864c2b0b8a0ce23f98360c86cc1dbda,a5b601c3f05b9357277a99abcce3c5d52e8e6f9d
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(266, 310, 67, 43, 65, 51)","(255, 307, 59, 44, 67, 50)","(307, 298, 81, 42, 71, 56)","(259, 308, 69, 40, 56, 61)","(266, 298, 73, 48, 62, 60)","(216, 302, 72, 68, 68, 57)","(244, 290, 43, 90, 73, 56)"
diagnostics_Mask-original_VoxelNum,39345,37789,40611,36937,38642,47022,50371
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,2
diagnostics_Mask-original_CenterOfMassIndex,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
original_firstorder_TotalEnergy,4735585439.0,10065047612.0,10908789148.0,13012366330.0,13988492721.0,14241867422.0,36184733823.0
original_firstorder_Uniformity,0.053971306513455074,0.026484307652110992,0.03085854692664281,0.026093238945140148,0.029729772438539758,0.026842009837991076,0.07790368225898475
original_firstorder_Variance,105016.44902700065,150507.35558899931,145825.23996378362,158342.0004298541,155658.79852533885,148811.3685770395,88650.62560612232
original_glcm_Autocorrelation,1524.386049618406,1024.9985722277956,990.5043964073034,815.9941944473883,784.7568716422551,901.665610708481,206.7274782817083
original_glcm_ClusterProminence,1160166.1127328805,1183532.6599936923,1072503.6682593229,1461808.2506777584,1323055.417043716,1175894.2219593683,2212312.5759135713
original_glcm_ClusterShade,-17131.358374457865,-999.7739946708182,-1810.3327429911724,9315.786898736662,8349.99099075335,2537.8865830979244,29526.9748362157
original_glcm_ClusterTendency,589.1493719073047,897.6588346544588,871.1948761456988,950.0733198091758,937.9929549526171,896.8904559582696,505.294884451128
original_glcm_Contrast,40.78978472139775,58.89405822882027,55.52388488626922,66.63029218191299,62.237082247973106,54.71360226728582,59.872234073191585
original_glcm_Correlation,0.8699153477575006,0.8768078267650012,0.8801189174762545,0.8689379769692531,0.8755905129190781,0.8850227636814455,0.7882130522079207
original_glcm_DifferenceAverage,3.673795278909784,4.9374906757480534,4.68022236691446,5.2176296341368085,4.934861676157458,4.709339664929439,4.4780281426245505
original_glcm_DifferenceEntropy,3.3667951407571044,3.8060164947818294,3.7170401658640153,3.864158446142903,3.7763786081827293,3.735237439616669,3.6036279262012556
original_glcm_DifferenceVariance,26.714276829195587,33.52809182479559,32.661618393608876,38.252093229180545,36.85841257764348,31.4695792850745,39.660583840466984
original_glcm_Id,0.45109819205938756,0.3623078815451333,0.38738164357452426,0.3562922923175496,0.37992528423622585,0.3798829256135,0.34572079587051097
original_glcm_Idm,0.3941998013829101,0.29070897929866657,0.32079714676060306,0.28495208204773925,0.3131146322109127,0.31095452392451606,0.26021215360237
original_glcm_Idmn,0.9932035351101596,0.9906627099056079,0.9913796140319497,0.9894835492441119,0.9899071946519103,0.9898289069662399,0.9886591528209858
original_glcm_Idn,0.9569485677249977,0.944022234321548,0.9475211305362268,0.94136526439948,0.9438242406528621,0.94250771224206,0.9430164667501464
original_glcm_Imc1,-0.24477157149569,-0.21796254686061695,-0.2297763648957267,-0.21442273465010567,-0.2243906944208083,-0.23187457890340069,-0.08786914574148003
original_glcm_Imc2,0.9478749301100098,0.9461042481728934,0.9492101243903405,0.9456835858322019,0.9483013250513088,0.9528379692670357,0.7205190567733246
original_glcm_InverseVariance,0.3354573006506403,0.26760338501025593,0.28485047156919124,0.2662916415161262,0.28206359501628386,0.27434418662273685,0.26515938762293617
original_glcm_JointAverage,37.24619666662165,28.553265377813563,28.045933035887572,24.39506471494489,23.786651704059693,26.288894780875694,9.76579867890656
original_glcm_JointEnergy,0.011432773342778525,0.0026064445409178256,0.0038723445905590134,0.002219958569915075,0.0031061562194084438,0.0027291792377181377,0.007711923748939838
original_glcm_JointEntropy,8.674256606758018,9.753232060724859,9.398015284108508,9.882147197018835,9.560044811810167,9.645364828957016,8.070018676255614
original_glcm_MCC,0.8826904693739711,0.8851367304817247,0.8892947216194957,0.8744886562014048,0.8841350511218802,0.8909854653250163,0.8452024259416521
original_glcm_MaximumProbability,0.048607894906524965,0.01198286421734948,0.019354644839677363,0.010309628196701863,0.011503761145971346,0.012354175435847829,0.01784571676481408
original_glcm_SumAverage,74.49239333324333,57.10653075562714,56.09186607177514,48.79012942988979,47.57330340811943,52.57778956175143,19.53159735781314
original_glcm_SumEntropy,5.900298527143668,6.454986262198258,6.302123433051737,6.522037987342444,6.380491836220759,6.440240089888928,5.00069719064412
original_glcm_SumSquares,157.48478915717544,239.13822322081984,231.67969025799206,254.17590299777214,250.05750930014761,237.90101455638904,141.29177963107983
original_gldm_DependenceEntropy,8.347248320963102,8.448593989845806,8.36196747605422,8.49927259453336,8.44482923401883,8.554453703906809,6.7977897892980135
original_gldm_DependenceNonUniformity,3385.5711017918416,4792.004948529995,4535.241510920687,4729.708503668408,4428.324103307282,5423.588703160223,7793.362311647575
original_gldm_DependenceNonUniformityNormalized,0.0860483187645658,0.1268095199272274,0.11167519910666289,0.128047987212508,0.11459872944742204,0.11534151467738979,0.15471922954969278
original_gldm_DependenceVariance,22.456492612598144,12.367466326904363,16.127182431788476,10.58341949752042,14.480881817310548,15.785246020448454,3.7702984755616753
original_gldm_GrayLevelNonUniformity,2123.50105477189,1000.8155018656223,1253.196449237891,963.8059669166419,1148.8178665700534,1262.1649866020161,3924.0863790673206
original_gldm_GrayLevelVariance,168.09435828246174,240.9026556683971,233.34531598860426,253.44123640016826,249.0712961687133,238.1802195286503,141.8149272183212
original_gldm_HighGrayLevelEmphasis,1505.0286694624476,1019.5414009367805,989.6907980596391,824.967945420581,794.2615289063713,904.9316490153545,237.54590935260367
original_gldm_LargeDependenceEmphasis,59.330664633371455,31.089020614464527,39.84346605599468,28.186506754744563,36.655763159256765,38.35613117264259,15.798475313176233
original_gldm_LargeDependenceHighGrayLevelEmphasis,110099.9560554073,45797.6628119294,61137.5791041836,29427.85399463952,41640.324051550124,51510.14350729446,2479.581008913859
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.28621395657673054,0.3163688159042858,0.3144275355512874,0.8944816127263787,1.20934774243115,1.17931935441434,1.49300600534399
original_gldm_LowGrayLevelEmphasis,0.005618874631326077,0.007405463014117187,0.007752718198085307,0.014570013292196182,0.017039128265512276,0.01284517428644725,0.09140179810551723
original_gldm_SmallDependenceEmphasis,0.21138432848220992,0.2711767518684784,0.2533612189730571,0.27885460761783687,0.26375062075420425,0.25802573673449825,0.25932723220738835
original_gldm_SmallDependenceHighGrayLevelEmphasis,227.58338421707967,228.33668347190775,199.67773939848468,219.27600879281425,188.59672846526442,202.08866688506205,98.45430187266554
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0008171828783887198,0.0014068261685578904,0.0012385825888830348,0.0018115288446846748,0.0020230904425846226,0.0014046135418071687,0.0222057365638823
original_glrlm_GrayLevelNonUniformity,1329.1208794977904,831.1328060088301,978.365958266282,824.001651715522,942.4802825915132,1038.6803048658721,3413.7135166751473
original_glrlm_GrayLevelNonUniformityNormalized,0.041891016081909226,0.02521358913625899,0.028292837093858783,0.02542979857282895,0.02843973980916808,0.025803578676708246,0.0748801498223555
original_glrlm_GrayLevelVariance,180.23112893589462,230.1624097695289,222.4075669620321,241.57985283764808,234.16167043658976,224.5589057297634,145.2691541875458
original_glrlm_HighGrayLevelRunEmphasis,1432.7548087882024,976.1617446031394,925.8681430196744,807.9660902340661,760.4615077332268,859.7378305878852,245.23170326820107
original_glrlm_LongRunEmphasis,1.992508828226422,1.5439516407445857,1.6687830795932226,1.5023439030158436,1.6226403135333944,1.6515768077479107,1.342146303730061
original_glrlm_LongRunHighGrayLevelEmphasis,3241.654000068306,1721.2862548055737,1875.8742809537218,1300.2254298863545,1414.4096540251219,1666.539240457983,300.72589749534905
original_glrlm_LongRunLowGrayLevelEmphasis,0.010605879522275733,0.012275396153431806,0.013115998694302354,0.02665570491597115,0.03284584674120646,0.02729386406804958,0.12318169964214515
original_glrlm_LowGrayLevelRunEmphasis,0.005638708982287136,0.007089860791425697,0.007581048407967464,0.013051729410832923,0.015231652422284647,0.011002628827224832,0.09118640075790825
original_glrlm_RunEntropy,6.000830398128983,6.083260031067861,6.00891004887842,6.10031080052491,6.031119118303442,6.10304693828628,4.76153838049063
original_glrlm_RunLengthNonUniformity,22549.94513980054,26201.1256100197,26550.68386064163,25842.79797797744,25645.990399496623,31222.1590605076,37823.7729781325
original_glrlm_RunLengthNonUniformityNormalized,0.7101779861556877,0.7936304327408732,0.7667130107058948,0.796456704671283,0.7727370767538202,0.774167535101139,0.829525071523621
