,Pre,PreN1
diagnostics_Versions_PyRadiomics,v3.0.1,v3.0.1
diagnostics_Versions_Numpy,1.19.5,1.19.5
diagnostics_Versions_SimpleITK,2.0.2,2.0.2
diagnostics_Versions_PyWavelet,1.1.1,1.1.1
diagnostics_Versions_Python,3.6.6,3.6.6
diagnostics_Configuration_Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}"
diagnostics_Configuration_EnabledImageTypes,{'Original': {}},{'Original': {}}
diagnostics_Image-original_Hash,52853f919b891bdcb816139338a1be0ab8a22830,f28301daf9c2c7cd61da3d8268d934f01ebb5641
diagnostics_Image-original_Dimensionality,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 189)","(512, 512, 230)"
original_glrlm_ShortRunHighGrayLevelEmphasis,153.85074026010955,170.5220764478051
original_glrlm_ShortRunLowGrayLevelEmphasis,0.017562011137209427,0.015706678084980923
original_glszm_GrayLevelNonUniformity,246.33061096277683,382.3366937365817
original_glszm_GrayLevelNonUniformityNormalized,0.03868864629539451,0.035689040766973
original_glszm_GrayLevelVariance,100.60881036384772,115.99059953531274
original_glszm_HighGrayLevelZoneEmphasis,376.36594942673156,413.7262204797909
original_glszm_LargeAreaEmphasis,24394.18690120936,27849.541304956594
original_glszm_LargeAreaHighGrayLevelEmphasis,962884.8660279566,1430858.6307290208
original_glszm_LargeAreaLowGrayLevelEmphasis,650.8992829821561,573.033314423406
original_glszm_LowGrayLevelZoneEmphasis,0.012212602609084947,0.01231909143559064
original_glszm_SizeZoneNonUniformity,2929.0634521752786,4390.656492112387
original_glszm_SizeZoneNonUniformityNormalized,0.460038236559648,0.4098437871849516
original_glszm_SmallAreaEmphasis,0.7052711714967642,0.6650003188037329
original_glszm_SmallAreaHighGrayLevelEmphasis,280.892918801577,298.2557520014427
original_glszm_SmallAreaLowGrayLevelEmphasis,0.007900251284537209,0.007347633327996633
original_glszm_ZoneEntropy,6.6856056468349605,7.036598030055756
original_glszm_ZonePercentage,0.1722300367885739,0.17335512476131915
original_glszm_ZoneVariance,24360.475080286884,27816.265648630066
original_ngtdm_Busyness,11.165681629440204,14.17460903630106
original_ngtdm_Coarseness,0.00017967700085709642,0.00012756911905407843
original_ngtdm_Complexity,2038.1451056921228,2289.493009103164
original_ngtdm_Contrast,0.09857338267795016,0.08968008376981715
original_ngtdm_Strength,0.6061550904596473,0.44199165109866173
