diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_firstorder_RobustMeanAbsoluteDeviation,46.64149358951057,37.45720555303992,31.757680772236004,29.16463672493197,29.671750959004648
original_firstorder_RootMeanSquared,752.8084337539228,779.103286331192,794.4717868229845,807.0699549392066,793.0967768951684
original_firstorder_Skewness,2.8253791407784528,3.2465476149926964,3.5307701877812803,3.642651173412636,3.5706174384172655
original_firstorder_TotalEnergy,4026549422.0,4945244730.0,6344044657.0,11613131532.0,8628656261.0
original_firstorder_Uniformity,0.13321308352990058,0.15743406389126738,0.16927359650935933,0.17052648039663082,0.16497300794515887
original_firstorder_Variance,35518.577899517695,32687.624026199926,29819.041285088275,26194.120586300003,24724.29569928237
original_glcm_Autocorrelation,147.0657002661489,87.10112167436445,89.18790773518685,90.80343007330643,81.760070289281
original_glcm_ClusterProminence,412132.12854940497,429058.27448665537,424404.2315321244,349107.2951300889,295556.84065849765
original_glcm_ClusterShade,7439.720241238607,7340.10940808885,7104.059729837869,6061.179416122112,5345.661854026812
original_glcm_ClusterTendency,193.46511887710605,175.27107190982144,161.64277053118215,140.5017761374711,132.17749269615422
original_glcm_Contrast,32.981111571116806,32.29642369599164,28.38093224044005,23.568976488209834,25.006962656345532
original_glcm_Correlation,0.7082865143056574,0.6888122866051434,0.7014465664145675,0.7120471858111673,0.6813592742194461
original_glcm_DifferenceAverage,3.0642749817873347,2.8584856812807717,2.6136805206640426,2.45831639404747,2.5878074880922983
original_glcm_DifferenceEntropy,3.0766124625537876,2.9494196157420216,2.8333683241317433,2.7892366610841552,2.8600621811680855
original_glcm_DifferenceVariance,23.289810310088097,23.873885704868112,21.338754645709248,17.324942160436965,18.14334720344649
original_glcm_Id,0.4963103304077111,0.5257349326454631,0.5372594738135251,0.5260949659164805,0.5100160972691121
original_glcm_Idm,0.4464658512947858,0.481535568408035,0.49448956130494054,0.4800278192368139,0.4608126751118783
original_glcm_Idmn,0.9887818688614066,0.9888090884563483,0.9905083658686282,0.9910607712819585,0.9897710283406433
original_glcm_Idn,0.9495276344386758,0.9524155020889248,0.9568920948737252,0.956471413559827,0.952537811897964
original_glcm_Imc1,-0.16026615355258414,-0.15351222170812553,-0.15161330027828657,-0.12568758650515183,-0.11535924905174286
original_glcm_Imc2,0.819654109816275,0.7928466109295312,0.7833016208821285,0.7299237763403945,0.7159099519814489
original_glcm_InverseVariance,0.3709246097533111,0.38043433817503947,0.3946828039106408,0.4061908828030993,0.4022633640916024
original_glcm_JointAverage,10.341321607439237,7.166331278050648,7.474743894911891,7.8466326343602715,7.41397397878525
