diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_glcm_Idn,0.9223147771607613,0.9499180200859983,0.9537271047338921,0.9560176324070961,0.9602736285451509
original_glcm_Imc1,-0.19903130160739313,-0.1469636939226404,-0.14223391820975323,-0.12009040389481193,-0.1341780300174818
original_glcm_Imc2,0.9095384258170949,0.7901048377028983,0.7669419435832882,0.7095975348330081,0.7584895835865016
original_glcm_InverseVariance,0.30277387285709173,0.3630555495713083,0.3793152216126393,0.40174996110809563,0.39395757219459604
original_glcm_JointAverage,15.01725425800084,7.420284271062651,6.582535329471343,7.521033459520501,7.659880949716997
original_glcm_JointEnergy,0.010045100580847118,0.033141800038238016,0.038676707305545364,0.03977087265093467,0.03503824890843687
original_glcm_JointEntropy,8.336297835910193,6.679644853618978,6.36233648504573,6.170706005561472,6.440636041190779
original_glcm_MCC,0.8514666476055097,0.7662397357778103,0.7077853272825666,0.6778511629746471,0.7641151832461569
original_glcm_MaximumProbability,0.04448787280078716,0.11363142076066045,0.11869518106266413,0.11126870826603343,0.10408663138016648
original_glcm_SumAverage,30.034508516001754,14.840568542125302,13.165070658942707,15.042066919040991,15.319761899433987
original_glcm_SumEntropy,5.628425775780221,4.539308575251404,4.340791394673074,4.169393949196884,4.323601273153193
original_glcm_SumSquares,146.30175597172212,45.51292876749017,35.61470518550227,28.149381950002933,39.75796545161813
original_gldm_DependenceEntropy,7.569212031691866,7.004136263223228,6.884590575619121,6.734428474025002,6.780235006682389
original_gldm_DependenceNonUniformity,726.8973780659712,622.9845577381628,726.7739066654442,1375.1153675928203,1062.0067770558235
original_gldm_DependenceNonUniformityNormalized,0.10246650381533286,0.07073743133168647,0.0666337129059727,0.06762308176015835,0.07419875477229256
original_gldm_DependenceVariance,16.394766194568426,22.598646918465214,23.312990399196643,19.781807916319767,17.434209401746013
original_gldm_GrayLevelNonUniformity,450.63095573724274,1231.874531622573,1681.6130008251582,3349.316597000246,2163.7998323202683
