diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_glcm_Imc2,0.9490887849873247,0.9011199541289491,0.9465313092891923,0.9431642086706261
original_glcm_InverseVariance,0.18715039778638662,0.12872380743990036,0.2748722078333145,0.25869439441686215
original_glcm_JointAverage,30.210254857715743,24.780184214779165,21.55967109105175,22.3794044660791
original_glcm_JointEnergy,0.001310376475695462,0.0038197005605268707,0.0038971813015421615,0.0035062683267593256
original_glcm_JointEntropy,10.476536868132182,10.316597540230761,9.278019339090521,9.41840547147789
original_glcm_MCC,0.9006725587884314,0.7665239053828077,0.896982232522623,0.9053776639349901
original_glcm_MaximumProbability,0.007580630069117298,0.05066628657891378,0.01621564513207391,0.017530952498543414
original_glcm_SumAverage,60.4205097154315,49.56036842955833,43.11934218210352,44.75880893215817
original_glcm_SumEntropy,6.798293267381035,6.6320485587409355,6.185760954811059,6.221020050285448
original_glcm_SumSquares,368.3870586211834,396.3557695658118,233.8603571039874,225.4840750022109
original_gldm_DependenceEntropy,8.033817454376575,7.768604787463933,7.974389520642767,7.952096630774658
original_gldm_DependenceNonUniformity,1018.8767567567568,1872.1942976526975,814.5539852095317,839.9612970711297
original_gldm_DependenceNonUniformityNormalized,0.22029767713659607,0.23008409704469676,0.13386261055210052,0.14643676727181482
original_gldm_DependenceVariance,3.9024963506208916,11.029373061654065,8.674564296946368,7.311359390105603
original_gldm_GrayLevelNonUniformity,92.88454054054054,274.49195035025195,221.1544782251438,204.49616457461644
original_gldm_GrayLevelVariance,372.7049777180424,395.6706201071309,240.21083632381306,233.80522487351408
original_gldm_HighGrayLevelEmphasis,1297.6012972972974,1002.5114907213961,710.7906327033689,739.3964435146444
original_gldm_LargeDependenceEmphasis,11.187243243243243,20.444021138011554,24.72851273623665,21.103207810320782
original_gldm_LargeDependenceHighGrayLevelEmphasis,14409.937297297298,6281.330219982795,20844.958915365653,16787.579846582983
