diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_glrlm_GrayLevelVariance,242.16130662565027,321.9648930111886,193.85307641366612,180.06734381392093
original_glrlm_HighGrayLevelRunEmphasis,555.6758499726607,685.7468957470444,496.72429312578214,502.81630843151527
original_glrlm_LongRunEmphasis,1.454796863902287,1.3130319703020406,1.5037449955225197,1.4469925320132544
original_glrlm_LongRunHighGrayLevelEmphasis,667.7197734772452,780.3398832766964,705.5742175238257,656.4425815265682
original_glrlm_LongRunLowGrayLevelEmphasis,0.020283871363947183,0.31306079409323473,0.027503378092410692,0.022107692046783797
original_glrlm_LowGrayLevelRunEmphasis,0.0129522873393063,0.12707268431151872,0.016450286224733286,0.013487711997066616
original_glrlm_RunEntropy,5.349403350768737,5.757368646123605,5.560267739919838,5.597582873093862
original_glrlm_RunLengthNonUniformity,3294.3587584594566,6336.152050577105,4835.598367142746,4464.498489055239
original_glrlm_RunLengthNonUniformityNormalized,0.808102672078978,0.865434726360661,0.8012820126113583,0.8151567428303383
original_glrlm_RunPercentage,0.886225636552719,0.9195096721802767,0.8800653226714721,0.8897176812756995
original_glrlm_RunVariance,0.17316326367527185,0.1283501947970901,0.20031922068096916,0.1746505992211371
original_glrlm_ShortRunEmphasis,0.9173356102400761,0.9443311023854951,0.9138612164500995,0.9206606823358258
original_glrlm_ShortRunHighGrayLevelEmphasis,533.8913282786568,664.6424163622336,460.1602391956195,474.05405878200594
